,UF,Cidade,Nome,Funcao
75,MG,Veríssimo,LÍLIA KELLY DA SILVA,Secretário(a) de Saúde
76,MG,Virgolândia,AFONSO JOSÉ DE ALMEIDA,Secretário(a) de Saúde
77,SP,SantaCruzdaEsperança,AMANDA PAVINSK ALVES,Secretário(a) de Saúde
78,PR,BrasilândiadoSul,Aletheia Patricia Busch,Secretário(a) de Saúde
79,RS,MarcelinoRamos,ISABEL CRISTINA SETTE BARP,Secretário(a) de Saúde
80,MA,Bacuri, RUI SILVA GONÇALVES,Secretário(a) de Saúde
81,RN,LagoaNova,Lívia Dayane de Medeiros Moura,Secretário(a) de Saúde
82,PB,BaíadaTraição,EMANOEL FERREIRA DA SILVA,Secretário(a) de Saúde
83,PB,Gurjão,PATRICIA MARTINS RAMOS CALLOU,Secretário(a) de Saúde
84,AL,Maravilha,IB HEBER PITA DE ARAUJO,Secretário(a) de Saúde
85,MG,CapelaNova, SANDRO EDUARDO DE PAIVA,Secretário(a) de Saúde
86,PA,Ananindeua,DAYANE DA SILVA LIMA,Secretário(a) de Saúde
87,CE,Jardim,Suely Maciel Rocha,Secretário(a) de Saúde
88,RN,EspíritoSanto,ARTUR FELIPE DE ARAÚJO SILVA,Secretário(a) de Saúde
89,PB,Imaculada,Rucielly Jaiadna Alves Silva,Secretário(a) de Saúde
90,PB,LagoaSeca,Cristiane Cavalcanti Costa,Secretário(a) de Saúde
91,SC,SantaRosadoSul,Fernanda Casagrande Velho Mattioli,Secretário(a) de Saúde
92,SC,UniãodoOeste,JULCE DANIEL ,Secretário(a) de Saúde
93,RS,Santiago,Eldrio Machado,Secretário(a) de Saúde
94,RS,SãoFranciscodeAssis,Leonardo Tailor de Oliveira Pilar,Secretário(a) de Saúde
95,SC,SãoFranciscodoSul,JEFERSON PACHECO DE MORAES,Secretário(a) de Saúde
96,GO,Sanclerlândia,DENNISY MENDONÇA R. RODRIGUES VIEIRA,Secretário(a) de Saúde
97,PA,Vigia,Patrícia do Socorro Soeiro Feitosa,Secretário(a) de Saúde
98,MA,Paraibano,LUCIMAR SA DA SILVA,Secretário(a) de Saúde
99,PE,Inajá,Jose Everton Fagundes,Secretário(a) de Saúde
100,PE,Sirinhaém,Leidjane Virães Neta,Secretário(a) de Saúde
101,ES,Alegre,Emerson Gomes Alves,Secretário(a) de Saúde
102,RJ,AngradosReis,Glauco Fonseca de Oliveira,Secretário(a) de Saúde
103,SP,DirceReis,CRISTIAN CARVALHO DOS SANTOS,Secretário(a) de Saúde
104,SP,MorroAgudo,BRUNO FERNANDO DA SILVA,Secretário(a) de Saúde
105,SC,Criciúma,ARLEU DA SILVEIRA,Secretário(a) de Saúde
106,GO,Itapuranga,ELIZABETHE CRISTINA MARTINS CARDOSO,Secretário(a) de Saúde
107,PA,Prainha,AGNALDO TELES MAGNO,Secretário(a) de Saúde
108,PB,Prata,Isadora de Sousa Araújo,Secretário(a) de Saúde
109,MG,Carangola,RALPH ANCHIETA MACHADO,Secretário(a) de Saúde
110,MG,Peçanha,CARLOS ANTONIO PASSOS ,Secretário(a) de Saúde
111,ES,Mantenópolis,Hidelbrando Pinto Neto,Secretário(a) de Saúde
112,RS,SãoFranciscodePaula,MOACIR DAROS ,Secretário(a) de Saúde
113,BA,Caetanos,JAMILLI BRITO DE OLIVEIRA,Secretário(a) de Saúde
114,BA,RibeirãodoLargo,RENATA LIMA MARTINS,Secretário(a) de Saúde
115,PR,BomSucessodoSul,SALIANE PEGORARO,Secretário(a) de Saúde
116,PR,ManoelRibas,Claudinei Batista de Jesus,Secretário(a) de Saúde
117,RN,Jundiá,SHIRLENNE IDIANNE DE ARAUJO ALVES FURTADO,Secretário(a) de Saúde
118,PB,Itaporanga,DENISE LEMOS VERIATO,Secretário(a) de Saúde
119,MG,Centralina,ANTONIO MARCONI VASCONCELOS  SILVA,Secretário(a) de Saúde
120,SP,Borebi,REGINALDO CIRILO,Secretário(a) de Saúde
121,SP,Embaúba,SANDRA VALENTINA BRUNELE DA SILVA,Secretário(a) de Saúde
122,SP,Iaras,Fernanda,Secretário(a) de Saúde
123,PR,Laranjal,Daiane de Oliveira,Secretário(a) de Saúde
124,SC,Arvoredo,IVANIR ARALDI ,Secretário(a) de Saúde
125,SC,BalneárioBarradoSul,ADEMIR IUNES ROSA JUNIOR,Secretário(a) de Saúde
126,SC,Belmonte,JAQUELINE VANZELOTI KOSWOSKI,Secretário(a) de Saúde
127,SC,Calmon,Soili Vezaro ,Secretário(a) de Saúde
128,SC,FormosadoSul,LEO PEDRO MIGLIAVACCA,Secretário(a) de Saúde
129,SC,Irati,MARCOS HENRIQUE KEHL,Secretário(a) de Saúde
130,SC,NovoHorizonte,ROGÉRIO ACACIO MASCARELLO,Secretário(a) de Saúde
131,SC,OuroVerde,HENRIQUE VOLGEL,Secretário(a) de Saúde
132,SC,Paraíso, VALDECIR SILVEIRA MENEGAIS,Secretário(a) de Saúde
133,SC,SantaHelena,CARLOS ROBERTO MELLO,Secretário(a) de Saúde
134,SC,SãoMigueldaBoaVista,JUSILEI PETTER MAGIONI,Secretário(a) de Saúde
135,GO,SãoMigueldoPassaQuatro,ELEUSA FRANÇA,Secretário(a) de Saúde
136,TO,AliançadoTocantins,JOSIEL ANTONIO BERTICELLI ,Secretário(a) de Saúde
137,PE,SãoLourençodaMata,Claudio José Albanez Falcão,Secretário(a) de Saúde
138,MG,Matutina,EDIVONE ZAIDE PESSOA,Secretário(a) de Saúde
139,MG,SãoGonçalodoPará,JOEL RIBEIRO DA SILVA,Secretário(a) de Saúde
140,TO,Barrolândia,LINDALVA CARDOSO DE ALMEIDA SANTOS ,Secretário(a) de Saúde
141,PB,Várzea,MARCIA LUCIA DE SOUZA LIMA,Secretário(a) de Saúde
142,PA,Belém,PEDRO RIBEIRO ANAISSE,Secretário(a) de Saúde
143,SP,Iporanga, Cristian Henrique Diniz,Secretário(a) de Saúde
144,MA,SucupiradoNorte, IONAR REZENDE RIBEIRO,Secretário(a) de Saúde
145,CE,Tejuçuoca,Roberta Azevedo Vidal,Secretário(a) de Saúde
146,PB,CaldasBrandão,SABRINA DE MOURA ROLIM,Secretário(a) de Saúde
147,PB,PedraLavrada,Maria Ângela Lucia Silva Porto,Secretário(a) de Saúde
148,MG,Almenara,LEANDRO BRITO DE ANDRADE,Secretário(a) de Saúde
149,TO,PortoAlegredoTocantins,JOSILTON NUNES RODRIGUES ,Secretário(a) de Saúde
150,MA,PaçodoLumiar,JOÃO MURICY SILVA NUNES,Secretário(a) de Saúde
151,CE,Cruz,EVALDO EUFRASIO VASCONCELOS,Secretário(a) de Saúde
152,SP,Miguelópolis,Juliano Ferreira dos Santos,Secretário(a) de Saúde
153,SC,BomRetiro,ROSA  LUIZA PEREIRA  DA SILVA ,Secretário(a) de Saúde
154,GO,Simolândia,LOURIVALDO FERREIRA DOS SANTOS,Secretário(a) de Saúde
155,MA,LimaCampos,LIDIANE CURVINA,Secretário(a) de Saúde
156,PB,OuroVelho,LIUDMILA CARNEIRO NUNES DE LIRA,Secretário(a) de Saúde
157,BA,PilãoArcado,POLIANO DOS ANJOS MOREIRA,Secretário(a) de Saúde
158,MG,OuroVerdedeMinas,LIVIANA COLEN TELES,Secretário(a) de Saúde
159,MG,Unaí,DENISE APARECIDA DE OLIVEIRA,Secretário(a) de Saúde
160,RJ,NovaIguaçu,Luiz Carlos Nobre Cavalcanti,Secretário(a) de Saúde
161,RJ,ParaíbadoSul,Raphael Borges Gomes,Secretário(a) de Saúde
162,RS,Veranópolis,Vanessa Calioni Bordignon,Secretário(a) de Saúde
163,GO,AltoHorizonte,ROSANIA MACHADO DOS REIS RESENDE,Secretário(a) de Saúde
164,GO,Castelândia,KERIMA DIAS DA SILVA,Secretário(a) de Saúde
165,GO,Jesúpolis,MATHEUS LEITE DE BESSA,Secretário(a) de Saúde
166,GO,NovaIguaçudeGoiás,CICERA MARTINS DE SANTOS,Secretário(a) de Saúde
167,GO,ProfessorJamil,FERNANDO DANTAS BUENO,Secretário(a) de Saúde
168,MA,Arame,GENIVALDO LOPES RIBEIRO,Secretário(a) de Saúde
169,MA,Palmeirândia,JOSÉ JOÃO OLIVEIRA PADILHA,Secretário(a) de Saúde
170,PI,PadreMarcos,MARIA LUCIA DA SILVA,Secretário(a) de Saúde
171,RN,BaíaFormosa,POLIANA PATRÍCIA PEREIRA DE ARAÚJO ,Secretário(a) de Saúde
172,BA,Itiúba,LUIS ANTÔNIO DIAS DE ANDRADE,Secretário(a) de Saúde
173,MA,Fortuna,JALYCYA RODRIGUES DE ALMEIDA ,Secretário(a) de Saúde
174,RJ,SãoFranciscodeItabapoana,Sebastião Tavares Campista Filho ,Secretário(a) de Saúde
175,RS,Herval,MARIANA ARAÚJO DUTRA,Secretário(a) de Saúde
176,TO,CamposLindos,CORINTO GOMES DOS SANTOS JUNIOR,Secretário(a) de Saúde
177,MA,Guimarães,OLAVO ANTÔNIO CARDOSO GUIMARÃES,Secretário(a) de Saúde
178,RN,CaiçaradoRiodoVento,Ionara Celeste Leocádio de Araújo Nunes,Secretário(a) de Saúde
179,RN,PedraPreta,Isailson Leocadio de Araújo,Secretário(a) de Saúde
180,MG,Tiradentes,JOSÉ ROBERTO DOS SANTOS,Secretário(a) de Saúde
181,SP,PraiaGrande,CLEBER SUCKOW NOGUEIRA,Secretário(a) de Saúde
182,PA,OeirasdoPará,Mônica Leal da Costa,Secretário(a) de Saúde
183,PA,Soure,Maria Helena Nazaré Gomes,Secretário(a) de Saúde
184,MA,AltamiradoMaranhão,Cristiane Sousa,Secretário(a) de Saúde
185,MA,IgarapéGrande,Domingos Vinícius de Araújo Santos,Secretário(a) de Saúde
186,MA,PauloRamos,ROSANA DE SOUZA ALMEIDA,Secretário(a) de Saúde
187,MA,PoçãodePedras,IOLETE SOARES DE ARRUDA,Secretário(a) de Saúde
188,PI,Jurema,AURIZORLAN DIAS DE OLIVEIRA,Secretário(a) de Saúde
189,AL,PoçodasTrincheiras,MEYLING,Secretário(a) de Saúde
190,SE,Telha,JULIANA RAMOS SOUZA,Secretário(a) de Saúde
191,MG,CoronelFabriciano,RICARDO CACAU MELO,Secretário(a) de Saúde
192,MG,EntreRiosdeMinas,ELAINE EMANUELA SILVA FERREIRA,Secretário(a) de Saúde
193,MG,Papagaios,DANILO LOPES SANTANA,Secretário(a) de Saúde
194,MG,UruanadeMinas,JANAINA PEREIRA RODRIGUES,Secretário(a) de Saúde
195,ES,AfonsoCláudio,Carolina Dias Gomes,Secretário(a) de Saúde
196,SP,Braúna,Alan Berge Guimarães,Secretário(a) de Saúde
197,SP,Cardoso,Cristiane Gutierrez Delpoz da Silva,Secretário(a) de Saúde
198,SP,Itaju,Kelly Cristina Da Costa Antunes,Secretário(a) de Saúde
199,SP,Motuca,Márcio Ap. Contarim,Secretário(a) de Saúde
200,SP,Parisi,Marli Donizete da Silva,Secretário(a) de Saúde
201,SP,Piraju,Denise Guimarães de Oliveira,Secretário(a) de Saúde
202,SP,Sabino,MARCELO SADAMU RODRIGUES,Secretário(a) de Saúde
203,SP,SantaCruzdoRioPardo,ANELISE LINK LEITÃO,Secretário(a) de Saúde
204,RN,SenadorGeorginoAvelino,Maristela Cruz de Albuquerque ,Secretário(a) de Saúde
205,PB,SerradaRaiz,Josinaldo Bezerra Duarte,Secretário(a) de Saúde
206,PR,Sulina,RONAN ERNZEN,Secretário(a) de Saúde
207,SC,Pomerode,LÍGIA HOEPFNER,Secretário(a) de Saúde
208,MT,Poconé,ILMA REGINA FIGUEIREDO DE ARRUDA,Secretário(a) de Saúde
209,GO,Goiatuba,PATRICIA LEMES DE LIMA ,Secretário(a) de Saúde
210,PI,Bertolínia,RODRIGO DA ROCHA MARTINS,Secretário(a) de Saúde
211,CE,Icapuí,REGINALDO ALVES DAS CHAGAS,Secretário(a) de Saúde
212,SP,SãoVicente,Michele Luis Santos,Secretário(a) de Saúde
213,GO,Quirinópolis,JADER ADRIANO DA SILVA,Secretário(a) de Saúde
214,AM,Silves,CÉLIA REGINA DA SILVA QUEIROZ,Secretário(a) de Saúde
215,PA,Paragominas,Lomar Loureiro Garuzzi,Secretário(a) de Saúde
216,AP,Mazagão,ALINE CRISTIANE TEIXEIRA DA SILVA,Secretário(a) de Saúde
217,SE,Canhoba,TÁSSIA DE CASTRO SILVA DIVINO,Secretário(a) de Saúde
218,SC,MajorVieira,SILVIA CLARICE KONDRAT,Secretário(a) de Saúde
219,SC,TrêsBarras,Siomara Muhlmann Corrêa,Secretário(a) de Saúde
220,RS,BarãodeCotegipe,CARLOS LUIZ BIASON,Secretário(a) de Saúde
221,AC,PortoAcre,EDNA DA SILVA CUIABANO CHAVES,Secretário(a) de Saúde
222,AM,Urucurituba,VALCIMARA  VASCONCELOS PEREIRA,Secretário(a) de Saúde
223,PA,Portel,Benedito Marcio Sherlo Silva Martins,Secretário(a) de Saúde
224,PI,Guaribas,ADIEL MATIAS DE ANDRADE,Secretário(a) de Saúde
225,PI,SãoJoãodaVarjota,ANTÔNIO LUZIVAN LUSTOSA ,Secretário(a) de Saúde
226,ES,AlfredoChaves,Silvia Pinto Ferreira,Secretário(a) de Saúde
227,RS,Carazinho,ANELISE SCHELL ALMEIDA,Secretário(a) de Saúde
228,CE,Apuiarés,Antônio Edemir Oliveira Lopes,Secretário(a) de Saúde
229,CE,Banabuiú,WEYBER DOUGLAS SILVA NOBRE,Secretário(a) de Saúde
230,CE,Iguatu,Dulce Viana Machado,Secretário(a) de Saúde
231,CE,Paramoti,Fernando Jefferson Ribeiro Nascimento,Secretário(a) de Saúde
232,MG,Paraisópolis,JOSY MARIA CABRAL RIBEIRO,Secretário(a) de Saúde
233,SP,Buri,Iveline Cariati Ferreira Netto,Secretário(a) de Saúde
234,SP,Estrelad'Oeste,DENISE APARECIDA BESSA,Secretário(a) de Saúde
235,SP,SãoPaulo,LUIZ CARLOS ZAMARCO,Secretário(a) de Saúde
236,SP,VeraCruz,Érica de Cássio Bonadio,Secretário(a) de Saúde
237,PR,BalsaNova,JULIANO JEAN SILVA,Secretário(a) de Saúde
238,PR,Guaporema,Michele Poltronheri,Secretário(a) de Saúde
239,MA,PioXII,IVAN DE PAIVA DO VALE SEGUNDO,Secretário(a) de Saúde
240,PI,AlvoradadoGurguéia,LEILA PATRÍCIA SOUSA BEZERRA,Secretário(a) de Saúde
241,PI,BarraD'Alcântara,ADONAY ARAUJO CAVALCANTE,Secretário(a) de Saúde
242,PI,BelaVistadoPiauí,EDIGAR DE SOUSA TOLENTINO,Secretário(a) de Saúde
243,PI,BetâniadoPiauí,CLAUDIMAR XAVIER COELHO ,Secretário(a) de Saúde
244,PI,BoaHora,RONIEL DE ARAUJO IBIAPINA,Secretário(a) de Saúde
245,PI,BoqueirãodoPiauí,ANGELA CRISTINA DE BRITO MACHADO,Secretário(a) de Saúde
246,PI,BrejodoPiauí,JOSE ROGERIO MARTINS,Secretário(a) de Saúde
247,PI,CampoGrandedoPiauí,FLÁVIO PEREIRA DE SOUSA,Secretário(a) de Saúde
248,PI,CampoLargodoPiauí,FRANCISCO DAS CHAGAS FERREIRA JUNIOR,Secretário(a) de Saúde
249,PI,CapitãoGervásioOliveira,JOAO BATISTA COELHO,Secretário(a) de Saúde
250,PI,CaridadedoPiauí,CLAUDINÉIA CARVALHO SANTOS,Secretário(a) de Saúde
251,PI,Currais,KENYA MARIA FALCÃO REGO,Secretário(a) de Saúde
252,PI,CurralNovodoPiauí,VANDER LUCIA CAVALCANTE DE LIRA,Secretário(a) de Saúde
253,PI,Geminiano,JOSÉ GENIVAL DE SOUSA,Secretário(a) de Saúde
254,PI,IlhaGrande,PEDRO RAIMUNDO FIRME FILHO,Secretário(a) de Saúde
255,PI,JúlioBorges,JOSE ABGAIL RIBEIRO FERREIRA,Secretário(a) de Saúde
256,PI,LagoadeSãoFrancisco,CRISTIANA DA SILVA RODRIGUES,Secretário(a) de Saúde
257,PI,LagoadoSítio,FRANCINÊDA DE SOUSA MELO MACIEL,Secretário(a) de Saúde
258,PI,MorroCabeçanoTempo,ITAMARA DUARTE DO LAGO,Secretário(a) de Saúde
259,PI,NossaSenhoradeNazaré,REGIANE CARLA MORAES SILVA,Secretário(a) de Saúde
260,PI,NovoSantoAntônio,JOSE WILSON DE SOUSA,Secretário(a) de Saúde
261,PI,PajeúdoPiauí,DALVAN CARVALHO,Secretário(a) de Saúde
262,PI,Paquetá,MARCOS VALÉRIO DA SILVA,Secretário(a) de Saúde
263,PI,Pavussu,PRISCILA RODRIGUES DA SILVA,Secretário(a) de Saúde
264,PI,NovaSantaRita,MARIA DO SOCORRO VIEIRA DE SOUSA LEAL,Secretário(a) de Saúde
265,PI,SãoJoãodaFronteira,JOÃO GALBERTO PEREIRA DOS SANTOS,Secretário(a) de Saúde
266,PI,SebastiãoBarros,ELAINE CRISTINA DE SOUSA,Secretário(a) de Saúde
267,PI,SebastiãoLeal,ELAINE CRISTINA DE SOUSA,Secretário(a) de Saúde
268,BA,Itacaré,ANDREIA SANTOS PALAFOZ DIAS,Secretário(a) de Saúde
269,ES,NovaVenécia,Joziel Santana,Secretário(a) de Saúde
270,SP,Santos,ADRIANO CATAPRETA,Secretário(a) de Saúde
271,PR,FazendaRioGrande,FRANCISCO ROBERTO BARBOSA ,Secretário(a) de Saúde
272,RS,Lajeado,TOVAR GRANDI MUSSKOFF,Secretário(a) de Saúde
273,MG,PedroLeopoldo,MICHELLI DE MATOS MORENO,Secretário(a) de Saúde
274,PA,Castanhal,CRISTINA ANDRADE YOKOTE,Secretário(a) de Saúde
275,PB,Puxinanã,VERÔNICA DE ANDRADE GURGEL,Secretário(a) de Saúde
276,BA,Iramaia,HELIA DA SILVA DOS SANTOS,Secretário(a) de Saúde
277,PR,Apucarana,EMIDIO ALBERTO BACHIEGA,Secretário(a) de Saúde
278,PR,Pitanga,JÉSSICA PATRÍCIA PEREIRA DE OLIVEIRA,Secretário(a) de Saúde
279,PR,Rolândia,Karla Giovana Bavaresco Ulinski,Secretário(a) de Saúde
280,RS,Giruá,Atiene Duarte,Secretário(a) de Saúde
281,RS,SantoCristo,LEO AFONSO BIRK,Secretário(a) de Saúde
282,MT,Rondolândia,GUSTAVO DE SOUZA CAVALCANTE,Secretário(a) de Saúde
283,MT,SantoAntôniodoLeste,MARCOS DA SILVA ALVES,Secretário(a) de Saúde
284,AM,BenjaminConstant,LEUSONEY FARIAS DE CASTRO ,Secretário(a) de Saúde
285,PA,PauD'Arco,JOÃO PAULO TESSAROLO,Secretário(a) de Saúde
286,PI,PauD'ArcodoPiauí,JOANA DE SOUSA BACELAR,Secretário(a) de Saúde
287,RN,Maxaranguape,LEALDO PEZZI ARAÚJO,Secretário(a) de Saúde
288,MG,Serro,RONAM WESLEY SALES,Secretário(a) de Saúde
289,ES,Apiacá,Flavia Basilio Zardani,Secretário(a) de Saúde
290,PR,Piraquara,RANIERE SIMÕES,Secretário(a) de Saúde
291,MA,Mirinzal,Larissa de Maria Schalcher Mendes Almeida,Secretário(a) de Saúde
292,SE,IlhadasFlores,EDGARD BRITO NETO,Secretário(a) de Saúde
293,MG,GovernadorValadares,RUY MOREIRA DE CARVALHO,Secretário(a) de Saúde
294,AM,BoaVistadoRamos,LYSANDRA NIVEA GUIMARÃES FARIAS,Secretário(a) de Saúde
295,AM,Envira,JOSÉ LUCIMAR GOMES DA COSTA,Secretário(a) de Saúde
296,AM,Nhamundá,ALCINEIA FONTES NETTO,Secretário(a) de Saúde
297,BA,Jiquiriçá,MIRACI BARBOSA DOS SANTOS,Secretário(a) de Saúde
298,MG,RioVermelho,ERASMO RIBEIRO DA SILVA ,Secretário(a) de Saúde
299,MG,Tarumirim,ALBERONI ALBERGARIA FILHO,Secretário(a) de Saúde
300,ES,Jaguaré,TANIA MARIA PARIZ XAVIER,Secretário(a) de Saúde
301,SP,Barbosa,TAIS BARBOSA DE CARVALHO,Secretário(a) de Saúde
302,PR,MatoRico,Ilson Bini,Secretário(a) de Saúde
303,RS,BomRetirodoSul,RODRIGO PEREIRA RODRIGUES ,Secretário(a) de Saúde
304,RS,CampoBom,João Paulo,Secretário(a) de Saúde
305,RS,SantaBárbaradoSul,EBERSON JOSE SAGGIORATO,Secretário(a) de Saúde
306,AM,Itamarati,GEAN CARLOS SAMPAIO DA SILVA,Secretário(a) de Saúde
307,AM,Tabatinga,MARLEM RIGLISON SILVA FERREIRA ,Secretário(a) de Saúde
308,TO,Wanderlândia,SIMONE BARROS NUNES,Secretário(a) de Saúde
309,CE,Quixelô,Ana Larissa Carvalho de Oliveira,Secretário(a) de Saúde
310,AL,Atalaia,CAMILA,Secretário(a) de Saúde
311,MG,Ninheira,IRACY CRISTINE DAVID MENDES QUEIROZ ,Secretário(a) de Saúde
312,PR,Douradina,Adriano Araujo Ferreira,Secretário(a) de Saúde
